	EN	FR	NL	DA	ES	UK	RU	DE	KO	FI	SE
image_provider	Image provider	Hébergeur des images	Foto provider	Billede leverandør	Proveedor de imagen	Фотохостінг	Фотохостинг	Bildanbieter	사진 올리기		
image_provider_desc	Change provider for image uploads	Changer d\'hébergeur pour les images	Pas provider voor foto uploads aan	Skift leverandør af billede uploads	Cambiar proveedor para la subida de imágenes	Змінити фотохостінг	Изменить фотохостинг	Anbieter für Bilderuploads ändern	사진 올림 서비스 제공자를 변경합니다.		
in_app_image_desc	Show in-app viewer for images	Montrer le visionneur interne pour les images	Toon in-app viewer voor foto's	Vis in-app fremviser for billeder	Mostrar visor de imágenes de la app	Показувати зображення у вбудованому переглядачі	Показывать изображения во встроенном просмотрщике	eingebauten Bildbetrachter zeigen	사진을 앱 내 뷰어로 봅니다.		
in_app_image_title	In-app image viewer	Visionneur d\'images interne	In-app foto kijker	In-app billede fremviser	Información del visor de imágenes de la app	Вбудований переглядач зображень	Встроенный просмотрщик изображений	Eingebauter Bildbetrachter	앱 내 사진 뷰어		
information	Information	Information	Informatie	Information	Información	Інформація	Информация	Information	정보		
inline_images	Show inline images	Afficher les images dans les timelines	Toon inline foto\'s	Vis indlejrede billeder	Mostrar imágenes inline	Показувати зображення в стрічці	Показывать изображения в ленте	Zeige Inline-Bilder	글흐름에 사진 보이기		
inline_wifi_desc	Only download images only if connected to wifi	Ne télécharger les images que si connexion Wi-Fi active	Download alleen foto's als wifi actief is	Download kun billeder hvis forbundet til Wi-Fi	Descarga imágenes solo si se está conectado a la Wi-Fi	Завантажувати зображення тільки при WiFi підключенні	Загружать изображения только при WiFi подключении	Bilder nur bei vorhandener WLAN-Verbindung herunterladen	Wi-Fi에 연결된 상태에서만 사진을 내려받습니다.		
inline_wifi_title	Images over Wifi	Images en Wi-Fi	Foto's over Wifi	Billeder via Wi-Fi	Imágenes desde Wi-Fi	Зображення по WiFi 	Изображения по WiFi	Bilder über WLAN	사진은 Wi-Fi 저 너머에		
insufficient_storage	You do not have enough storage to upload this file	Vous n\'avez pas assez d'espace en ligne pour uploader ce fichier	Je hebt niet genoeg opslag ruimte om dit bestand te uploaden	Du har ikke nok diskplads til at kunne uploade denne fil	No hay suficiente espacio para almacenar este archivo	Ви не маєте достатнього місця в сховищі для завантаження цього файлу	Вы не имеете достаточного места в хранилище для загрузки этого файла	Du hast nicht genug Speicherplatz um diese Datei hochzuladen	이 파일을 올려놓으려면 원격지에 공간이 더 필요합니다.		
invalid_url	Please enter a valid URL	Merci d\'entrer une URL valide	Voer a.u.b. een geldige URL in	Tast venligst en gyldig URL	Introduce una URL válida	Будь ласка, введіть робоче посилання	Пожалуйста, введите рабочую ссылку 	Bitte eine valide URL eingeben	올바른 URL을 입력하세요.		
invert_post_click_desc	Long press to view thread, single press for options	Appui long pour voir le fil, appui simple pour les options	Lang indrukken om het draadje te zien, een keer drukken voor opties	Langvarigt tryk for at vise tråd, enkelt tryk for indstillinger	Mantener pulsado para ver el hilo; tocar para ver las opciones	Довге натиснення для перегляду обговорення, коротке - для додаткових можливостей	Долгое нажатие для просмотра обсуждения, короткое — для дополнительных возможностей	Lange drücken für Nachrichten verlauf, kurz drücken für Optionen	짧게 터치하면 옵션이 나오고 길게 누르면 대화 체인이 나옵니다.		
invert_post_click_title	Invert post click	Inverser le click du post	Post-click omdraaien	Vend post klik	Invertir toques en posts	Поміняти місцями дії по натисканню	Поменять местами действия по нажатию	Click-Verhalten umkehren	글 터치 동작 뒤집기		
key_black_listed	Thank you for trialing Robin. If you liked the app, please consider buying. It costs less than a cup of coffee.	Merci d\'essayer Robin. Si vous aimez l\'application, merci de l\'acheter. Ça coûte moins qu\'un café.	Bedankt dat je Robin uitprobeert. Als je de app leuk vind, denk er dan eens over na om deze te kopen. Het kost je minder dan een kop koffie.	Tak fordi du ville prøve Robin. Overvej venligst at købe, hvis du er tilfreds med app'en. Det koster mindre end en kop kaffe.	Gracias por probar Robin. Si te ha gustado la app, no dudes en comprarla; un café es más caro.	Дякуємо за пробне використання Robin. Якщо програма вам сподобалaся, будь ласка, подумайте про її придбання. Вона коштує дешевше чашки кави.	Спасибо за пробное использование Robin. Если приложение вам понравилось, пожалуйста, подумайте о его покупке. Оно стоит дешевле чашки кофе.	Danke, dass du Robin getestet hast. Wenn es dir gefallen hat, denke doch darüber nach, es zu kaufen. Es kostet weniger als eine Tasse Kaffee.	Robin을 체험해보시니 어떤가요? 이 앱이 마음에 든다면 구매해주세요! 커피 한 잔보다 저렴하다니까요!		
language	Language	Langue	Taal	Sprog	Lenguaje	Мова	Язык	Sprache	언어		
large	Large	L	Groot	Stor	Grande	Середній	Средний	Groß	크게		
larger	Larger	XL	Groter	Større	Más grande	Великий	Большой	Größer	더 크게!		
larger_still	Even larger	XXL	Nog groter	Endnu større	Enorme	Ще більший	Еще больше	noch Größer	대박 크게!!		
last_refreshed	Last refreshed %s %s	Dernier chargement %s %s	Laatst vernieuwd %s %s	Sidst opdateret %s %s	Refrescado por última vez %s %s	Оновлено %s %s	Обновлено %s %s	Zuletzt aktualisiert %s %s	마지막 새로 고침: %s %s		
last_taken_pic	Last taken picture	Dernière image sélectionnée	Laatst genomen foto	Seneste billede taget	Última imagen capturada	Останнє зображення	Последнее изображение	Zuletzt aufgenommenes Bild	마지막 사진 올리기		
licenses	Third-party licenses	Licences tierce partie	Derde partij licenties	Tredje-parts licenser	Licencias de terceros	Ліцензії третіх сторін	Лицензии третьих сторон	Lizenzen von Dritten	타사 라이선스 정보		
lightbox_desc	Show in-app lightbox for images and links	Montrer les fenêtres contextuelles dans l\'app pour les images et les liens	Toon in-app lightbox voor plaatjes en links	Vis in-app lightbox for billeder og links	Usar el visor de imágenes y enlaces de la app	Відкривати посилання і зображення прямо в програмі	Открывать ссылки и изображения прямо в приложении	Zeige Bilder und Links in der App ("Lightbox")	앱 내부에서 링크와 사진을 보여주는 라이트박스를 띄웁니다.		
lightbox_title	Popup lightbox	Fenêtres contextuelles surgissantes	Popup lightbox	Popup lightbox	Visor emergente	Режим "Popup lightbox"	Режим "Popup lightbox"	Zeige Bilder und Links einzeln	라이트박스 팝업		
links	Links	Liens	Links	Links	Links	Посилання	Ссылки	Links	링크		
load_missing_posts	Load missing posts	Charger les posts manquants	Laden ontbrekende posts	Hent manglende posts	Cargar el resto de posts	Завантаження відсутніх записів	Загрузка отсутствующих записей	Fehlende Posts laden	안 읽은 글 보기		
loading_next_page	Loading more	Chargement des posts suivants	Laad meer	Henter mere	Cargando más	Завантажуємо ще	Загружаем еще	Mehr laden	불러오는 중		
locale	Locale	Langage	Taal	Lokal	Directorio	Мовна локаль	Языковая локаль	Lokalisierung	로캘		
locale_desc	Change the app\'s default locale	Changer le langage par défaut de l\'app	Pas de app\'s standaard taal aan	Ændré app'ens primære lokal	Cambia el directorio predeterminado de la app	Змінити мовну локаль програми за замовчуванням	Изменить языковую локаль приложения по умолчанию	ändert die Standard-Sprache der App	앱의 기본 로캘을 선택하세요.		
location_aquired	Location acquired	Géolocalisatiion acquise	Locatie benodigd	Lokation fundet	Localización adquirida	Місцезнаходження визначено	Местоположение определено	Position ermittelt	위치 찾기 성공		
location_failed	Location failed	Erreur de géolocalisation	Locatie mislukt	Lokation fejlede	No se pudo localizar	Місцезнаходження не визначено	Местоположение не определено	Postitionsermittlung gescheitert	위치 찾기 실패		
logging_in	Logging in	Connexion en cours	Logt in	Logger ind	Entrando	Вхід	Вход	Anmeldung...	로그인 중		
login	Login	Connexion	Inloggen	Log ind	Entrar	Вхід	Вход	Anmelden	로그인		
login_button	Login	Se connecter	Inloggen	Log ind	Entrar	Увійти	Войти	Anmelden	로그인		
login_error	There was a problem checking the beta key, please try again.	Une erreur est survenue lors de la vérification de la clé béta. Veuillez réessayer.	Er was een probleem met de beta key, probeer het aub opnieuw.	Der opstod et problem ved tjek af beta nøgle, prøv venligst igen.	Hubo un problema comprobando la clave beta, por favor inténtalo de nuevo.	Виникла проблема при перевірці вашого бета-ключа. Будь ласка, спробуйте ще раз.	Возникла проблема при проверке вашего бета-ключа. Пожалуйста, попробуйте еще раз.	Es gab ein Problem bei der Überprüfung des Beta-Key, bitte versuchen es noch einmal.	베타 키를 확인하지 못했습니다. 다시 시도해보세요.		
login_info_description_1	Robin is an App.net client and requires an account.	Robin est un client App.net et nécessite un compte	Robin is een App.net client en vereist een account	Robin er en App.net klient og kræver en konto.	Robin es un cliente de App.net y requiere una cuenta.	Robin - це клієнт для App.net і для нього потрібній відповідний обліковий запис.	Robin - это клиент для App.net, и для него требуется соответствующая учетная запись.	Robin ist ein app.net client und benötigt einen Account	Robin은 App.net용 클라이언트입니다. App.net 계정이 필요해요.		
login_info_description_2	Robin uses password auth which has been approved by the staff of App.net and requires the permissions	Robin utilise password auth qui a été approuvé par l\'équipe d\'App.net et nécessite les permissions	Robin gebruikt wachtwoord authenticatie welke is goedgekeurd door App.net en benodigd permissies	Robin benytter adgangskode autentifikation som er blevet godkendt af holdet bag App.net og kræver tilladelserne.	Robin usa un verificador de contraseñas aprobado por el equipo de App.net y requiere permisos	Robin використовує пароль для аутентифікації, схвалений службою App.net, і вимагає певних дозволів	Robin использует пароль для авторизации, одобренный службой App.net, и требует определенных разрешений	Robin benutzt Passwort-Authentifikation, was vom app.net-Team genehmigt wurde und benötigt eine Erlaubnis	Robin은 App.net 직원으로부터 \'비밀번호 인증\' 방식을 사용할 수 있도록 특별 허가를 받았습니다. Robin이 정상 동작하려면 다음 ADN 권한이 필요합니다:		
login_info_description_3	App was created by \@scruffyfox and \@simpleline	App créée par \@scruffyfox et \@simpleline	App is gemaakt door \@scruffyfox en @\simpleline	App er lavet af \@scruffyfox og \@simpleline	App creada por \scruffyfox y \@simpleline	Програму створили \@scruffyfox і \@simpleline	Приложение создали \@scruffyfox и \@simpleline	Die App wurde erstellt von \@scruffyfox und \@simpleline	이 앱은 \@scruffyfox와 \@simpleline이 만들었어요!		
login_password	Password	Mot de passe	Wachtwoord	Adgangskode	Contraseña	Пароль	Пароль	Passwort	비밀번호		
login_title	Login to App.net	Connexion à App.net	Inloggen op App.net	Log ind til App.net	Entrar en App.net	Вхід в App.net	Вход в App.net	Bei app.net einloggen	App.net 로그인		
login_username	Username	Identifiant	Gebruikersnaam	Brugernavn	Usuario	Користувач	Пользователь	Benutzername	사용자 이름		
logout	Logout	Déconnexion	Uitloggen	Log ud	Salir	Вихід	Выход	Abmelden	로그아웃	Kirjaudu ulos	
logout_description	This will log out all linked accounts	Vous allez être déconnecté de tous les comptes	Hiermee log je alle gelinkte account uit	Dette vil logge alle linkede konti ud	Saldrás de todas las cuentas enlazadas	Вихід всіх облікових записів	Выход из всех учетных записей	Dies wird alle verbundenen Konten abmelden	앱에 연결된 모든 계정에서 로그아웃합니다.		
logout_header	LOGOUT	DECONNEXION	UITLOGGEN	LOG UD	SALIR	ВИЙТИ	ВЫЙТИ	AUSLOGGEN	로그아웃	KIRJAUDU ULOS	
max_cache_text	Max cache size	Taille maximum du cache	Maximale cache grote	Maks. cache størrelse	Tamaño máx. de caché	Максимальний розмір кешу	Максимальный размер кэша	Maximale Cache-Größe	캐시 크기 제한		
max_image_cache_text	Max image cache size	Taille maximum du cache pour les images	Maximale foto cache grote	Maks. billede cache størrelse	Tamaño máx. de la caché de imágenes	Максимальний розмір кешу для зберігання зображень	Максимальный размер кэша для хранения изображений	Maximale Cache-Größe für Bilder	사진 캐시 크기 제한		
medium	Medium	Moyenne	Medium	Medium	Mediano	Середній	Средний	Mittel	중간		
mention	Mention	Mentionner	Vermelding	Mention	Mención	Згадка	Упоминание	Erwähnt	멘션		
mention_user	Mention \@%s	Mentionner \@%s	Noemen \@%s	Mention \@%s	Mención \@%s	Згадки \@%s	Упоминание \@%s	Erwähne \@ %s	\@%s 멘션		
mentioned_by	Mentioned by \@%s	Mentionné par \@%s	Vermeld door \@%s	Mentioned af \@%s	Mencionado por \@%s	Згадка від \@%s	Упоминание от \@%s	Erwähnt von \@%s	이 사용자에 의해 멘션됨: \@%s		
mentioning_user	Mentioning \@%s&#8230;	Mention de \@%s en cours&#8230;	Noemt \@%s&#8230;	Mentioning \@%s&#8230;	Mencionando \@%s&#8230;	Згадка \@%s	Упоминание \@%s	Erwähne \@ %s...	\@%s에게 멘션 중		
mentions	Mentions	Mentions	Vermeldingen	Mentions	Menciones	Згадки	Упоминания	Erwähnungen	멘션		
mentions_stream_fail	Failed to load mentions	Erreur lors du chargement des mentions	Niet gelukt om vermeldingen te laden	Kunne ikke loade mentions	No se pudieron cargar las menciones	Помилка при завантаженні згадок	Ошибка при загрузке упоминаний	Konnte Erwähnungen nicht laden	멘션 목록을 불러오지 못했습니다.		
message_delete_success	Message successfully deleted	Message supprimé avec succès	Bericht succesvol verijderd	Besked slettet succesfuldt	Se ha borrado el mensaje	Повідомлення успішно видалено	Сообщение успешно удалено	Nachricht erfolgreich gelöscht	쪽지를 성공적으로 지웠습니다.		
message_sent	Message sent	Message posté	Bericht verstuurd	Besked sendt	Mensaje enviado	Повідомлення надіслано	Сообщение отправлено	Nachricht verschickt	쪽지 보냄.		
message_sent_desc	Message sent successfully.	Message posté avec succès.	Bericht succesvol verstuurd.	Besked sendt succesfuldt.	Se ha enviado el mensaje.	Повідомлення успішно надіслано.	Сообщение успешно отправлено.	Nachricht erfolgreich verschickt.	쪽지를 성공적으로 보냈습니다.		
message_success	Message successfully sent	Message envoyé avec succès	Bericht succesvol verstuurd	Besked sendt succesfuldt	Se ha enviado el mensaje	Повідомлення успішно надіслано	Сообщение успешно отправлено	Nachricht erfolgreich verschickt.	쪽지를 성공적으로 보냈습니다.		
message_user	Message	Message	Bericht	Besked	Mensaje	Повідомлення	Сообщение	Nachricht	쪽지	Viesti	
messages	Messages	Messages	Berichten	Beskeder	Mensajes	Повідомлення	Сообщения	Nachrichten	쪽지	Viestit	
messages_before	Previous messages	Messages précédents	Vorig bericht	Tidligere beskeder	Mensajes anteriores	Попередні повідомлення	Предыдущие сообщения	Vorherige Nachrichten	이전 쪽지	Edelliset viestit	
messages_desc	Access to send and view private messages	Accès à l\'envoi et la consultation des messages privés	Toegang om prive berichten te versturen en te zien	Mulighed for at sende og vise private beskeder	Entrar para enviar y leer mensajes privados	Доступ до відправки і перегляду особистих повідомлень	Доступ к отправке и просмотру личных сообщений	Zugriff um private Nachrichten zu lesen und schreiben	개인 쪽지를 읽고 보낼 권한		
messages_since	Messages since	Messages depuis le	Berichten sinds	Beskeder siden	Mensajes posteriores	Наступні повідомлення	Следующие сообщения	Nachrichten seit	선택된 메시지		
messages_stream_fail	Failed to load messages	Erreur lors du chargement des messages	Niet gelukt om berichten te laden	Kunne ikke loade beskeder	No se pudieron cargar los mensajes	Помилка при завантаженні повідомлень	Ошибка при загрузке сообщений	Konnte Nachrichten nicht laden	쪽지 목록을 불러오지 못했습니다.		
misc_header	MISC	DIVERS	VERSCHILLENDE	DIVERSE	VARIOS	Різне	Разное	VERSCHIEDENES	기타		
more	More	Détails	Meer	Mere	Más	Детальніше	Подробнее	Mehr	더 보기		
more_ellipsis	More&#8230;	Détails&#8230;	Meer&#8230;	Mere&#8230;	Más&#8230;	Детальніше#8230;	Подробнее&#8230;	Mehr...	더 보기...		
mute	Mute	Bloquer	Demp	Mute	Silenciar	Ігнорувати	Игнорировать	Mute	뮤트하기		
mute_failed	Failed to mute user	Erreur lors de la requête	Dempen gebruiker mislukt	Kunne ikke mute bruger	No se pudo silenciar al usuario	Помилка при додаванні в список ігнорованих	Ошибка при добавлении в список игнорируемых	Stummschalten fehlgeschlagen	뮤트 실패		
mute_failed_formatted	Failed to mute user \@%s	Erreur lors du bloquage de \@%s	Niet gelukt om gebruiker \@%s te dempen	Kunne ikke mute bruger \@%s	No se pudo silenciar al usuario \@%s	Помилка при додаванні в список ігнорованих користувача \@%s	Ошибка при добавлении в список игнорируемых пользователя \@%s	Stummschalten des Benutzers \@%s fehlgeschlagen	다음 사용자 뮤트 실패: \@%s		
mute_hashtag	Mute hashtag	Bloquer le hashtag	Demp hashtag	Mute hashtag	Silenciar hashtag	Ігнорувати тег	Игнорировать тег 	Hashtag muten	해시태그 뮤트하기		
mute_thread	Mute Thread	Bloquer la conversation	Demp Draad	Mute Tråd	Silenciar Hilo	Ігнорувати обговорення	Игнорировать обсуждение	Mute Unterhaltung	대화 체인 뮤트하기		
muted_tags	MUTED TAGS	TAGS BLOQUÉS	GEDEMPTE TAGS	MUTED TAGS	TAGS SILENCIADOS	Ігноровані теги	Игнорируемые теги	GEMUTETE TAGS	뮤트된 태그		
muted_users	Muted Users	Utilisateurs bloqués	Gedempte Gebruikers	Muted Brugere	Usuarios Silenciados	Ігноровані користувачі 	Игнорируемые пользователи	gemutete Benutzer	뮤트된 사용자		
nav_menu	Navigation menu	Menu	Navigatie menu	Navigationsmenu	Menú de navegación	Меню навігації	Меню навигации	Navigationsmenu	내비게이션 메뉴		
never	never	jamais	nooit	aldrig	nunca	Ніколи	Никогда	niemals	다시는 안 함		
new_mentions_counter	%s new mentions	%s Nouvelles mentions	%s nieuwe vermeldingen	%s nye mentions	%s menciones nuevas	%s нові згадки	%s новые упоминания	%s neue Erwähnungen	%s 새로운 멘션		
new_message	New message	Nouveau message	Nieuw bericht	Ny besked	Nuevo mensaje	Нове повідомлення	Новое сообщение	Neue Nachricht	새 쪽지		
new_post	New post	Nouveau post	Nieuwe post	Nyt post	Nuevo post	Новий запис	Новая запись	Neuer Post	새 글		
new_update	New update available	Une nouvelle mise à jour est disponible	Nieuwe update beschikbaar	Ny opdatering tilgængelig	Nueva actualización disponible	Доступно оновлення	Доступно обновление	Neues Update verfügbar	판올림이 가능합니다!		
new_update_title	New Robin update	Nouvelle mise à jour Robin	Nieuwe Robin update	Ny Robin opdatering	Nueva actualización de Robin	Оновлення Robin	Новое обновление Robin	Neues Robin Update	Robin: 새 판		
next	Next	Suivant	Volgende	Næste	Siguiente	Далі	Дальше	Weiter	다음	Seuraava	
no	No	Non	Nee	Nej	No	Ні	Нет	Nein	아니요	Ei	
no_updates	You are already up-to-date	L'application est à jour	Je hebt al de laatste versie	Du er allerede opdateret	No hay actualizaciones nuevas	У вас остання версія	У вас последняя версия	Du hast schon die aktuellste Version	이미 최신 버전 입니다.		
normal	Normal	Normal	Normaal	Normal	Normal	Звичайний	Обычный	Normal	기본		
notif_follow	New followers	Nouveaux abonnés	Nieuwe volger	Nye følgere	Nuevos seguidores	Нові підписчики	Новые подписчики	Neue Follower	새 팔로워		
notif_follow_from	You have a new follower: \@%s	Vous avez un nouvel abonné: \@%s	Je hebt een nieuwe volger: \@%s	Du har en ny følger: \@%s	Tienes un seguidor nuevo: \@%s	У вас з'явилися нові підписчики: \@%s	У вас появились новые подписчики: \@%s	Du hast einen neuen Follower: \@%s	\@%s 님이 나를 팔로우하기 시작했어요.		
notif_message_from	Message from \@%s	Message de \@%s	Bericht van \@%s	Besked fra \@%s	Mensaje de \@%s	Повідомлення від \@%s	Сообщение от \@%s	Nachricht von \@%s	\@%s 님의 쪽지		
notif_new_message_from	New message from \@%s	Nouveau message de \@%s	Nieuw bericht van \@%s	Ny besked fra \@%s	Nuevo mensaje de \@%s	Нове повідомлення від \@%s	Новое сообщение от \@%s	Neue Nachricht von \@%s	\@%s 님의 새로운 쪽지		
notif_new_patter_message_from	New patter mention from \@%s	Nouvelle mention Patter de \@%s	Nieuwe patter vermelding van \@%s	Ny Patter mention fra \@%s	Nueva mención en patter de \@%s	Нова згадка в чаті від \@%s	Новое упоминание в чате от \@%s	Neue Patter-Erwähnung von \@%s	\@%s 님의 새로운 Patter 쪽지		
notif_patter_message_from	Patter mention from \@%s	Mention Patter de \@%s	Patter vermelding fan \@%s	Patter mention fra \@%s	Mención en patter de \@%s	Згадка в чаті від \@%s	Упоминание в чате от \@%s	Patter-Erwähnung von \@%s	\@%s 님의 Patter 쪽지		
notification_for	for @%s	pour @%s	voor @%s	for @%s	para @%s	Для @%s	Для @%s	für @%s	@%s에게 온		
notification_header	NOTIFICATIONS	NOTIFICATIONS	NOTIFICATIES	NOTIFIKATIONER	NOTIFICACIONES	СПОВІЩЕННЯ	УВЕДОМЛЕНИЯ	BENACHRICHTIGUNGEN	알림		
notification_new_post	Robin - new post	Robin - nouveau post	Robin - nieuwe post	Robin - nyt post	Robin - nuevo post	Robin - нова запис	Robin - новая запись	Robin - neuer Post	Robin - 새로운 글		
notification_setting_mentions	When I get mentioned	Quand je suis mentionné	Wanneer ik word genoemd	Når jeg bliver mentioned	Cuando reciba una mención	Коли мене згадують	Когда меня упоминают	Bei Erwähnungen	새로운 멘션을 받았을 때	Kun minut mainitaan	
notification_setting_new_follow	When I get a new follower	Quand j\'ai un nouvel abonné	Wanneer ik een nieuwe volger heb	Når jeg får en ny følger	Cuando me siga alguien nuevo	Коли у мене з\'являється новий читач	Когда у меня появляется новый читатель	Bei neuem Follower	새로운 팔로워가 생겼을 때		
notification_setting_patter_mentions	When I get mentioned in a patter channel	Quand je suis mentionné dans un canal Patter	Wanneer ik word genoemd in een patter kanaal	Når jeg bliver mentioned i en patter kanal	Cuando reciba una mención en un canal patter	Коли мене згадують у Patter	Когда меня упоминают в чатовом канале	Bei Erwähnungen in einem patter Kanal	Patter 채널의 멘션을 받았을 때		
notification_setting_pms	When I get a PM	Quand je reçois un message privé	Wanneer ik een PM ontvang	Når jeg modtager en PM	Cuando reciba un mensaje privado	Коли я отримую ЛЗ	Когда я получаю ЛС	Bei Privater Nachricht	새로운 PM이 도착했을 때		
notification_setting_repost	When my posts are reposted	Quand mes posts sont repostés	Wanneer mijn posts worden gerepost	Når mine posts bliver reposted	Cuando reenvíen mis posts	Коли мою запис репостять	Когда мою запись репостят	Wenn meine Posts neu gepostet werden	내 글이 리포스트되었을 때 		
notification_setting_star	When my posts are starred	Quand mes posts sont étoilés	Wanneer mijn posts favoriet worden gemarkeerd	Når mine posts bliver starred	Cuando destaquen mis posts	Коли мою запис додають в обране	Когда мою запись добавляют в избранное	Wenn meine Posts favorisiert werden	내 글이 별표되었을 때		
notification_sound	Notification sound	Son lors d\'une notification	Notificatie geluid	Notifikationslyd	Sonido de notificación	Звук повідомлень	Звук уведомлений	Benachrichtigungston	알림음		
notification_sound_desc	Set the tone played when a notification triggers	Choisir le son joué quand une notification arrive	Stel de toon in als een notificatie actief word	Vælg tonen der bliver afspillet når der modtages en notifikation	Seleccionar el tono de notificación	Вибрати звук для повідомлень	Выбрать звук для уведомлений	Den Ton einstellen, der genutzt wird um eine Benachrichtigung zu melden	알림이 도착하면 울릴 알림음을 선택하세요.		
notification_sound_enabled_desc	Enabled sounds for notifications	Sons actifs pour les notifications	Zet geluid voor notificaties aan	Aktiveret lyde for notifikationer	Sonidos de notificación activados	Увімкнути звук повідомлень	Включить звук уведомлений	Töne für Benachrichtigungen aktivieren	알림음 켜기		
notification_vibrate	Vibrate on new notification	Vibrer lors des notifications	Vibratie bij nieuwe notificatie	Vibration ved ny notifikation	Vibrar ante una notificación nueva	Вібрувати при вхідному повідомленні	Вибрировать при входящем уведомлении	Vibriere bei neuer Benachrichtigung	새로운 알림이 왔을 때 진동하기		
notification_vibrate_desc	Vibrate bzzt when bzzt you get a bzzt notification	Vibrer bzzt quand bzzt vous recevez une bzzt notification	Vibratie bzzt wanneer bzzt je een nieuwe bzzt notificatie ontvangt	Vibration bzzt når bzzt du får bzzt en ny notifikation.	Vibrar bzzt cuando bzzt tengas una bzzt notificación	Вібрувати при вхідному повідомленні	Вибрировать при входящем уведомлении	Vibriere bzzt wenn bzzt eine neue bzzt Benachrichtigung eintrifft	새로운 알리이이임이 오면 진동이 울립니다아아아~		
notifications	Notifications	Notifications	Notificaties	Notifikationer	Notificaciones	Сповіщення	Уведомления	Benachrichtigungen	알림		
notifications_desc	Set what notifications to send me	Définir quelles notifications m\'envoyer	Stel in welke notificaties ik ontvang	Vælg hvilke notifikationer du vil modtage	Establecer las notificaciones que quiero recibir	Встановити, які сповіщення спрямовувати мені	Установить, какие уведомления направлять мне	Einstellen, welche Benachrichtigungen gesendet werden sollen	알림 선택		
notifications_enabled	Send me notifications	Activer les notifications	Stuur me notificaties	Send mig notifikationer	Envíame notificaciones	Надсилати мені повідомлення	Присылать мне уведомления	Sende mir Benachrichtigungen	나에게 알림 보내기		
notifications_following	Following only notifications	Uniquement les notifications des abonnements	Alleen volger notificaties	Følger kun notifikationer	Sólo notificaciones de usuarios que sigo	Тільки повідомлення про новий читача	Уведомления только от добавленных пользователей	Benachrichtigungen nur von Kontakten	알림 걸러내기		
notifications_following_desc	Only send me notifications from people I follow	Uniquement les notifications des abonnements	Alleen volger notificaties	Kun send mig notifikationer fra personer jeg følger	Enviarme notificaciones sólo de usuarios a los que sigo	Надсилати тільки повідомлення від людей, яких я читаю	Присылать уведомления только от людей, которых я читаю	Benachrichtigungen nur von Leuten, denen du folgst	내가 팔로우한 사람들의 알림만 받습니다		
notifications_following_enabled	Only send me notification for people I follow	Seulement envoyer une notification pour les utilisateurs auquels je suis abonné	Stuur me alleen notificaties voor mensen die ik volg	Kun send mig notifikationer for personer jeg følger	Enviarme notificaciones sólo de usuarios a los que sigo	Надсилати тільки повідомлення для людей, яких я читаю	Присылать только уведомления связанные с людьми, которых я читаю	Sende mir nur Benachrichtigungen für Leute, denen ich folge	내가 팔로우한 사람들의 알림만 받습니다		
notifications_led	Use custom notification LED	Utiliser des signaux luminaux personnalisés pour les notifications	Gebruik aangepaste notificatie LED	Brug brugerdefineret notifikations-LED	Utilizar LED para notificaciones	Використовувати власний колір LED-індикатора для повідомлень	Использовать собственный цвет LED-индикатора для уведомлений	Verwende benutzerdefinierte Benachrichtigungs-LED	LED 알림		
notifications_led_desc	Use the awesome red LED colour for notifications (if supported)	Utiliser le signal lumineux rouge pour les notifications (si possible)	UGebruik de supertoffe rode LED kleur voor notificaties (mits ondersteund)	Brug den fede røde LED farve for notifikationer (hvis understøttet)	Utilizar el impresionante color rojo del LED para notificaciones (si está soportado)	Використовувати червоний колір LED-індикатора для повідомлень (якщо підтримується)	Использовать красный цвет LED-индикатора для уведомлений (если поддерживается)	Benutzt die tolle neue rote Benachrichtigungs-LED (wenn möglich)	(가능하다면) 멋진 빨간색 LED로 알림을 받아봅니다		
notifications_sound_enabled	Play sound for notifications	Jouer un son pour les notifications	Speel geluid voor notificaties	Afspil lyd for notifikationer	Reproducir sonido para notificaciones	Звукові сповіщення	Звуковые уведомления	Sound abspielen bei Benachrichtigungen	알림음 재생		
now	now	maintenant	nu	nu	ahora	Зараз	Сейчас	jetzt	지금	nyt	
open_hashtag	Open hashtag	Ouvrir le hashtag	Open hashtag	Åben hashtag	Abrir hashtag	Відкрити тег	Открыть тег	Hashtag öffnen	해시태그 열기	Avaa hashtag	
open_profile	Open profile	Ouvrir le profil	Open profiel	Åben profil	Abrir perfil	Відкрити профіль	Открыть профиль	Profil öffnen	프로필 열기	Avaa profiili	
open_tag_formatted	Open %s	Ouvrir %s	Open %s	Åben %s	Abrir %s	Відкріти %s	Открыть  %s	Öffne %s	%s 열기		
open_url	Open link in browser	Ouvrir le lien dans le navigateur	Open link in browser	Åben link i browser	Abrir link en el navegador	Відкрити посилання в браузері	Открыть ссылку в браузере	Link im Browser öffnen	브라우저에서 링크 열기	Avaa linkki selaimessa	
options	Options	Options	Opties	Muligheder	Opciones	Налаштування	Настройки	Optionen	옵션		
other_mentions	other mentions	autres mentions	Andere vermeldingen	andre mentions	otras menciones	Інші згадки	Другие упоминания	andere Erwähnungen	다른 멘션		
pick_option	Pick option	Choisir une option	Kies optie	Vælg muligheder	Selecciona una opción	Вибрати опції	Выбрать опции	Option wählen	선택하세요		
